Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1661.6931960784314
FDW14,OUT017,1412.1562050420168
NCN55,OUT010,584.7577647727275
FDQ58,OUT017,2222.671282258065
FDY38,OUT027,6280.890880000001
FDH56,OUT046,1800.1922229508198
FDL48,OUT018,711.0628208695653
FDC48,OUT027,2517.882088484849
FDN33,OUT045,1559.3429752688166
FDA36,OUT017,2778.9892780000005
FDT44,OUT017,1800.1922229508198
FDQ56,OUT045,1412.1562050420168
NCC54,OUT019,584.7577647727275
FDU11,OUT049,2047.6653193798445
DRL59,OUT013,711.0628208695653
FDM24,OUT049,2490.5268867052023
FDI57,OUT045,3100.7320132450336
DRC12,OUT018,2797.804447457626
NCM42,OUT027,3242.0620715328487
FDA46,OUT010,482.69954262295084
FDA31,OUT013,2888.49101011236
NCJ31,OUT035,3735.2457029411767
FDG52,OUT046,796.6660672268906
NCL19,OUT019,281.4820818181819
FDS10,OUT035,3387.204723170731
FDX22,OUT010,584.7577647727275
NCF19,OUT035,796.6660672268906
NCE06,OUT046,2222.671282258065
DRC27,OUT046,3855.1205479768796
FDE21,OUT035,1800.1922229508198
NCR42,OUT019,92.67548155339811
FDX51,OUT018,2797.804447457626
NCR06,OUT018,507.04640366972484
FDU31,OUT027,5329.314724444444
FDU59,OUT017,2611.459542342342
FDR03,OUT027,5329.314724444444
FDS49,OUT027,2517.882088484849
FDD48,OUT010,281.4820818181819
NCF18,OUT017,3216.7914510638307
NCD43,OUT027,2517.882088484849
NCD54,OUT018,1752.2524400000002
FDY19,OUT010,281.4820818181819
NCY54,OUT017,2888.49101011236
NCL19,OUT018,2232.8470218487396
FDP23,OUT010,584.7577647727275
FDC26,OUT013,1548.6861522123893
FDR14,OUT010,165.91858165137623
NCS41,OUT035,3387.204723170731
FDF41,OUT035,3735.2457029411767
FDU34,OUT046,2047.6653193798445
DRH11,OUT046,935.0323883040937
FDM03,OUT013,1548.6861522123893
FDS31,OUT017,3387.204723170731
FDJ20,OUT017,2140.5192583333323
FDV44,OUT027,5329.314724444444
FDG02,OUT049,2778.9892780000005
FDA09,OUT013,2888.49101011236
FDT04,OUT013,507.04640366972484
FDL58,OUT019,584.7577647727275
FDE52,OUT045,1353.0650169014086
FDW12,OUT035,2490.5268867052023
FDL51,OUT017,3855.1205479768796
NCY42,OUT027,3242.0620715328487
FDR07,OUT017,1559.3429752688166
FDN40,OUT045,2490.5268867052023
FDB35,OUT027,2517.882088484849
FDA22,OUT017,2611.459542342342
NCL06,OUT046,4034.300306896552
FDI35,OUT013,3387.204723170731
NCW42,OUT045,3855.1205479768796
NCX06,OUT049,2551.8435967479677
FDC37,OUT027,2517.882088484849
FDZ14,OUT018,1752.2524400000002
DRG49,OUT049,3855.1205479768796
NCG06,OUT045,4034.300306896552
DRC36,OUT045,2551.8435967479677
FDV21,OUT019,281.4820818181819
FDB53,OUT046,2660.9504030303024
DRP47,OUT019,584.7577647727275
FDA14,OUT013,2660.9504030303024
DRC24,OUT035,2660.9504030303024
FDW21,OUT018,1372.6884907407407
NCH29,OUT046,1559.3429752688166
FDU58,OUT013,2797.804447457626
FDY27,OUT017,2888.49101011236
FDV56,OUT035,1784.4287381818178
FDT59,OUT046,3662.4659299999994
FDB23,OUT046,3662.4659299999994
FDR49,OUT045,796.6660672268906
FDB03,OUT010,584.7577647727275
FDN39,OUT045,2453.747700699301
FDX02,OUT027,5329.314724444444
FDQ16,OUT027,2517.882088484849
FDU35,OUT018,1372.6884907407407
NCT29,OUT013,1857.3664076190469
FDZ27,OUT046,796.6660672268906
FDN57,OUT017,2227.634958415841
FDA03,OUT018,2232.8470218487396
FDZ36,OUT045,3387.204723170731
NCU05,OUT013,1240.3673076086952
FDT39,OUT018,2232.8470218487396
FDK60,OUT017,1559.3429752688166
FDZ25,OUT017,2894.220710714286
FDG12,OUT046,2282.978881481481
DRB01,OUT019,482.69954262295084
NCC43,OUT027,6280.890880000001
FDX13,OUT019,584.7577647727275
FDM22,OUT049,796.6402682539681
FDJ03,OUT027,1378.263185276074
FDU14,OUT018,3327.95258292683
FDB33,OUT010,346.8972837209303
FDP27,OUT046,3216.7914510638307
FDO38,OUT010,165.91858165137623
FDE28,OUT027,6280.890880000001
FDO27,OUT035,1559.3429752688166
DRL23,OUT027,2517.882088484849
FDS28,OUT046,935.0323883040937
FDX24,OUT013,1460.7407669724764
FDZ02,OUT035,1559.3429752688166
FDL46,OUT045,1800.1922229508198
FDS60,OUT027,5329.314724444444
NCO06,OUT017,583.8145788617885
FDO16,OUT035,1412.1562050420168
FDC60,OUT049,1412.1562050420168
FDA48,OUT018,3327.95258292683
FDZ36,OUT027,5329.314724444444
FDK27,OUT045,2282.978881481481
FDW23,OUT018,507.04640366972484
FDM14,OUT018,1372.6884907407407
FDM14,OUT013,1661.6931960784314
FDW60,OUT018,2888.49101011236
FDE21,OUT013,1800.1922229508198
NCM42,OUT035,1879.05405
FDY59,OUT010,219.2185209302325
DRI49,OUT049,1240.3673076086952
FDT28,OUT019,346.8972837209303
FDQ22,OUT018,507.04640366972484
FDR60,OUT049,1240.3673076086952
FDC50,OUT019,219.2185209302325
FDV24,OUT013,2490.5268867052023
DRF48,OUT010,482.69954262295084
FDQ47,OUT046,583.8145788617885
DRN36,OUT049,1559.3429752688166
NCY06,OUT035,1857.3664076190469
FDE52,OUT035,1353.0650169014086
NCB54,OUT045,1857.3664076190469
NCF31,OUT035,2490.5268867052023
FDJ08,OUT027,5329.314724444444
NCC07,OUT017,1661.6931960784314
NCD19,OUT027,1378.263185276074
FDL46,OUT049,1800.1922229508198
FDM20,OUT045,4332.7791028571455
NCI06,OUT010,425.9355914529914
DRM11,OUT035,4433.304032653061
NCH07,OUT018,2232.8470218487396
FDS23,OUT013,2047.6653193798445
FDO49,OUT018,711.0628208695653
FDS35,OUT049,1103.1862133333332
DRK39,OUT045,1412.1562050420168
DRI39,OUT049,796.6402682539681
FDV04,OUT017,2222.671282258065
NCN14,OUT035,3387.204723170731
FDH08,OUT013,3662.4659299999994
FDS20,OUT046,3387.204723170731
FDV40,OUT049,1103.1862133333332
FDZ48,OUT010,281.4820818181819
FDS24,OUT027,2517.882088484849
FDK44,OUT049,2551.8435967479677
FDS48,OUT045,2660.9504030303024
FDK26,OUT010,482.69954262295084
FDD23,OUT045,3100.7320132450336
NCH54,OUT017,2894.220710714286
NCP14,OUT010,219.2185209302325
FDM60,OUT010,92.67548155339811
FDV24,OUT017,2490.5268867052023
FDH08,OUT018,3327.95258292683
FDS12,OUT027,3242.0620715328487
FDR39,OUT027,5329.314724444444
FDP12,OUT027,1378.263185276074
DRF60,OUT027,6280.890880000001
FDC09,OUT035,1784.4287381818178
FDF50,OUT018,3216.7914510638307
FDG28,OUT035,3855.1205479768796
NCE19,OUT017,935.0323883040937
NCM53,OUT010,281.4820818181819
NCN18,OUT049,1548.6861522123893
FDF32,OUT035,3100.7320132450336
FDF11,OUT013,3662.4659299999994
DRI59,OUT049,4332.7791028571455
NCG54,OUT035,2894.220710714286
FDM44,OUT046,1661.6931960784314
FDT57,OUT018,3327.95258292683
FDV24,OUT046,2490.5268867052023
FDI50,OUT019,584.7577647727275
FDS09,OUT035,796.6660672268906
NCC31,OUT027,4117.3177126315795
FDQ07,OUT019,584.7577647727275
FDC22,OUT017,3216.7914510638307
FDZ56,OUT046,2894.220710714286
FDZ40,OUT019,165.91858165137623
FDS46,OUT027,3242.0620715328487
DRD24,OUT045,2227.634958415841
FDV45,OUT017,2797.804447457626
FDL26,OUT045,2894.220710714286
FDA56,OUT018,1752.2524400000002
FDN27,OUT046,1800.1922229508198
FDM20,OUT049,4332.7791028571455
FDO16,OUT017,1412.1562050420168
FDL03,OUT035,3100.7320132450336
FDE58,OUT046,1800.1922229508198
FDI02,OUT027,3242.0620715328487
NCC55,OUT019,92.67548155339811
FDR03,OUT018,3327.95258292683
FDB14,OUT017,1460.7407669724764
FDR45,OUT013,4332.7791028571455
NCN07,OUT017,1857.3664076190469
FDM51,OUT019,219.2185209302325
FDT52,OUT027,6280.890880000001
FDL26,OUT046,2660.9504030303024
NCZ42,OUT046,3662.4659299999994
DRI47,OUT019,346.8972837209303
FDW40,OUT013,2227.634958415841
FDN34,OUT046,2894.220710714286
FDS01,OUT035,2888.49101011236
NCG55,OUT045,1800.1922229508198
FDC11,OUT035,1353.0650169014086
FDX35,OUT018,3327.95258292683
NCB06,OUT046,2894.220710714286
FDR09,OUT019,584.7577647727275
FDC53,OUT017,1559.3429752688166
FDY45,OUT013,4433.304032653061
FDA22,OUT010,425.9355914529914
FDE02,OUT035,1559.3429752688166
FDW21,OUT045,1879.05405
FDV34,OUT046,1103.1862133333332
FDS59,OUT049,1784.4287381818178
NCW17,OUT017,2282.978881481481
NCK54,OUT046,1800.1922229508198
FDG17,OUT019,584.7577647727275
FDG35,OUT017,3104.1898299065433
FDD08,OUT010,92.67548155339811
NCO07,OUT017,3662.4659299999994
FDJ10,OUT010,281.4820818181819
FDW36,OUT017,1548.6861522123893
FDW21,OUT010,219.2185209302325
FDY19,OUT017,1800.1922229508198
DRE03,OUT013,711.0628208695653
NCC55,OUT049,677.1027476190472
FDH52,OUT010,165.91858165137623
FDO09,OUT017,4034.300306896552
FDU43,OUT045,3855.1205479768796
FDX09,OUT010,425.9355914529914
FDH40,OUT019,219.2185209302325
FDW58,OUT017,1661.6931960784314
FDC47,OUT017,3735.2457029411767
NCR41,OUT035,1559.3429752688166
DRG49,OUT035,3855.1205479768796
FDC52,OUT027,4117.3177126315795
FDY13,OUT046,1103.1862133333332
FDY35,OUT013,507.04640366972484
FDI35,OUT017,3387.204723170731
NCU18,OUT049,2227.634958415841
FDY33,OUT018,2232.8470218487396
FDC15,OUT027,4117.3177126315795
FDU01,OUT049,3100.7320132450336
NCU42,OUT046,2611.459542342342
NCV29,OUT018,2888.49101011236
NCY30,OUT017,3387.204723170731
FDQ46,OUT049,1879.05405
FDG58,OUT027,4117.3177126315795
FDK33,OUT017,3662.4659299999994
NCD07,OUT045,1800.1922229508198
NCX29,OUT027,4117.3177126315795
